title,author,length
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,Length: 9 hrs and 9 mins
Dust,Hugh Howey,Length: 10 hrs and 53 mins
The Hiding Place,"Corrie ten Boom,Elizabeth Sherrill,John Sherrill",Length: 8 hrs and 14 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
The Dark Tower I,Stephen King,Length: 7 hrs and 20 mins
Artemis,Andy Weir,Length: 8 hrs and 57 mins
It,Stephen King,Length: 44 hrs and 55 mins
The Book on Rental Property Investing,Brandon Turner,Length: 11 hrs and 38 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
The Ritual,Shantel Tessier,Length: 16 hrs and 46 mins
The Shining,Stephen King,Length: 15 hrs and 50 mins
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins
JFK and the Unspeakable,James W. Douglass,Length: 22 hrs and 20 mins
Leviathan Wakes,James S. A. Corey,Length: 20 hrs and 56 mins
Principles,Ray Dalio,Length: 16 hrs and 5 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
When You Find Me,P. J. Vernon,Length: 10 hrs and 16 mins
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
As a Man Thinketh,James Allen,Length: 55 mins
Complex PTSD,Pete Walker,Length: 10 hrs and 28 mins
A Thousand Boy Kisses,Tillie Cole,Length: 13 hrs and 1 min
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins
Mastery,Robert Greene,Length: 16 hrs and 9 mins
The Holy Bible in Audio - King James Version,King James Bible,Length: 72 hrs and 1 min
Redeeming Love,Francine Rivers,Length: 17 hrs and 17 mins
Outwitting the Devil,"Napoleon Hill,Sharon L. Lechter - editor",Length: 5 hrs and 51 mins
The Power of Habit,Charles Duhigg,Length: 11 hrs and 10 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
The Alloy of Law,Brandon Sanderson,Length: 10 hrs and 48 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
The Silent Corner,Dean Koontz,Length: 14 hrs and 26 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Grit,Angela Duckworth,Length: 9 hrs and 22 mins
A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins
Twilight,Stephenie Meyer,Length: 12 hrs and 51 mins
The Poisonwood Bible,Barbara Kingsolver,Length: 15 hrs and 34 mins
Lady Tan's Circle of Women,Lisa See,Length: 13 hrs and 15 mins
The Blade Itself,Joe Abercrombie,Length: 22 hrs and 15 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
Make Your Bed,William H. McRaven,Length: 1 hr and 53 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins
The Prince,Niccolo Machiavelli,Length: 4 hrs and 47 mins
Anne of Green Gables,Lucy Maud Montgomery,Length: 9 hrs and 22 mins
Leviathan,Darius Hinks,Length: 12 hrs and 13 mins
Tell Me Everything,Minka Kelly,Length: 8 hrs and 40 mins
American Gods: The Tenth Anniversary Edition (A Full Cast Production),Neil Gaiman,Length: 19 hrs and 39 mins
SpecOps,Craig Alanson,Length: 15 hrs and 50 mins
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
Rising Strong,Brené Brown,Length: 8 hrs and 51 mins
Only the Dead,Jack Carr,Length: 15 hrs and 17 mins
Shattersoul,Kyle Kirrin,Length: 20 hrs and 15 mins
No Country for Old Men,Cormac McCarthy,Length: 7 hrs and 29 mins
Ugly Love,Colleen Hoover,Length: 9 hrs and 14 mins
Does It Hurt?,H. D. Carlton,Length: 12 hrs and 7 mins
The Terminal List,Jack Carr,Length: 12 hrs and 3 mins
A Villains Collection,Serena Valentino,Length: 12 hrs and 52 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
Red Notice,Bill Browder,Length: 14 hrs and 7 mins
The Only One Left,Riley Sager,Length: 12 hrs and 32 mins
Anna Karenina,Leo Tolstoy,Length: 35 hrs and 35 mins
Frankenstein,Mary Shelley,Length: 8 hrs and 35 mins
Crime and Punishment,"Fyodor Dostoevsky,Constance Garnett - translator",Length: 20 hrs and 28 mins
The Complete Sherlock Holmes,Arthur Conan Doyle,Length: 58 hrs and 4 mins
This Tender Land,William Kent Krueger,Length: 14 hrs and 19 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
The Viscount Who Loved Me,Julia Quinn,Length: 12 hrs and 23 mins
Savage Son,Jack Carr,Length: 12 hrs and 56 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Talking to Strangers,Malcolm Gladwell,Length: 8 hrs and 42 mins
Mindhunter,"John E. Douglas,Mark Olshaker",Length: 15 hrs and 24 mins
Sphere,Michael Crichton,Length: 13 hrs
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
Quiet,Susan Cain,Length: 10 hrs and 39 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 47 mins
The In-Between,Hadley Vlahos R.N.,Length: 7 hrs and 19 mins
"Love, Theoretically",Ali Hazelwood,Length: 12 hrs and 33 mins
Disruptive Thinking,T. D. Jakes,Length: 8 hrs and 32 mins
The Power of Vulnerability,Brené Brown,Length: 6 hrs and 30 mins
Homecoming,Kate Morton,Length: 17 hrs and 38 mins
For We Are Many,Dennis E. Taylor,Length: 8 hrs and 59 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
The Titan's Curse,Rick Riordan,Length: 8 hrs and 48 mins
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins
Paradise,Craig Alanson,Length: 15 hrs and 53 mins
Prepared,"Mike Glover,Jack Carr - foreword",Length: 5 hrs and 14 mins
The Guest List,Lucy Foley,Length: 10 hrs and 22 mins
Dare to Lead,Brené Brown,Length: 8 hrs and 10 mins
The Martian,Andy Weir,Length: 10 hrs and 59 mins
Outlander,Diana Gabaldon,Length: 32 hrs and 38 mins
How to Talk So Kids Will Listen & Listen So Kids Will Talk,"Adele Faber,Elaine Mazlish",Length: 8 hrs and 24 mins
Fervent,Priscilla Shirer,Length: 4 hrs and 25 mins
A Child Called 'It',David Pelzer,Length: 3 hrs and 46 mins
The Obstacle Is the Way,Ryan Holiday,Length: 4 hrs and 38 mins
An Offer from a Gentleman,Julia Quinn,Length: 12 hrs and 22 mins
The Dark Forest,"Cixin Liu,Joel Martinsen - translator",Length: 22 hrs and 36 mins
The Time Traveler's Wife,Audrey Niffenegger,Length: 17 hrs and 38 mins
